asset,year,technology,region,installed,capacity
0,2045,solarPV,R1,2020,12.55000000000
0,2049,solarPV,R1,2020,12.55000000000
1,2045,solarPV,R1,2025,15.73000000000
1,2049,solarPV,R1,2025,15.73000000000
1,2050,solarPV,R1,2025,15.73000000000
1,2054,solarPV,R1,2025,15.73000000000
2,2045,solarPV,R1,2030,20.00000000000
2,2049,solarPV,R1,2030,20.00000000000
2,2050,solarPV,R1,2030,20.00000000000
2,2054,solarPV,R1,2030,20.00000000000
2,2055,solarPV,R1,2030,20.00000000000
2,2059,solarPV,R1,2030,20.00000000000
3,2045,solarPV,R1,2035,5.94800000000
3,2049,solarPV,R1,2035,5.94800000000
3,2050,solarPV,R1,2035,5.94800000000
3,2054,solarPV,R1,2035,5.94800000000
3,2055,solarPV,R1,2035,5.94800000000
3,2059,solarPV,R1,2035,5.94800000000
3,2060,solarPV,R1,2035,5.94800000000
3,2064,solarPV,R1,2035,5.94800000000
4,2045,solarPV,R1,2040,11.20000000000
4,2049,solarPV,R1,2040,11.20000000000
4,2050,solarPV,R1,2040,11.20000000000
4,2054,solarPV,R1,2040,11.20000000000
4,2055,solarPV,R1,2040,11.20000000000
4,2059,solarPV,R1,2040,11.20000000000
4,2060,solarPV,R1,2040,11.20000000000
4,2064,solarPV,R1,2040,11.20000000000
4,2065,solarPV,R1,2040,11.20000000000
4,2069,solarPV,R1,2040,11.20000000000
5,2050,solarPV,R1,2045,32.97200000000
5,2054,solarPV,R1,2045,32.97200000000
5,2055,solarPV,R1,2045,32.97200000000
5,2059,solarPV,R1,2045,32.97200000000
5,2060,solarPV,R1,2045,32.97200000000
5,2064,solarPV,R1,2045,32.97200000000
5,2065,solarPV,R1,2045,32.97200000000
5,2069,solarPV,R1,2045,32.97200000000
5,2070,solarPV,R1,2045,32.97200000000
5,2074,solarPV,R1,2045,32.97200000000
6,2045,solarPV,R2,2025,15.73000000000
6,2049,solarPV,R2,2025,15.73000000000
6,2050,solarPV,R2,2025,15.73000000000
6,2054,solarPV,R2,2025,15.73000000000
7,2045,solarPV,R2,2030,11.20000000000
7,2049,solarPV,R2,2030,11.20000000000
7,2050,solarPV,R2,2030,11.20000000000
7,2054,solarPV,R2,2030,11.20000000000
7,2055,solarPV,R2,2030,11.20000000000
7,2059,solarPV,R2,2030,11.20000000000
8,2045,solarPV,R2,2035,17.14800000000
8,2049,solarPV,R2,2035,17.14800000000
8,2050,solarPV,R2,2035,17.14800000000
8,2054,solarPV,R2,2035,17.14800000000
8,2055,solarPV,R2,2035,17.14800000000
8,2059,solarPV,R2,2035,17.14800000000
8,2060,solarPV,R2,2035,17.14800000000
8,2064,solarPV,R2,2035,17.14800000000
9,2045,solarPV,R2,2040,11.20000000000
9,2049,solarPV,R2,2040,11.20000000000
9,2050,solarPV,R2,2040,11.20000000000
9,2054,solarPV,R2,2040,11.20000000000
9,2055,solarPV,R2,2040,11.20000000000
9,2059,solarPV,R2,2040,11.20000000000
9,2060,solarPV,R2,2040,11.20000000000
9,2064,solarPV,R2,2040,11.20000000000
9,2065,solarPV,R2,2040,11.20000000000
9,2069,solarPV,R2,2040,11.20000000000
10,2050,solarPV,R2,2045,32.97200000000
10,2054,solarPV,R2,2045,32.97200000000
10,2055,solarPV,R2,2045,32.97200000000
10,2059,solarPV,R2,2045,32.97200000000
10,2060,solarPV,R2,2045,32.97200000000
10,2064,solarPV,R2,2045,32.97200000000
10,2065,solarPV,R2,2045,32.97200000000
10,2069,solarPV,R2,2045,32.97200000000
10,2070,solarPV,R2,2045,32.97200000000
10,2074,solarPV,R2,2045,32.97200000000
11,2045,windturbine,R1,2020,20.00000000000
11,2049,windturbine,R1,2020,20.00000000000
12,2045,windturbine,R1,2030,2.40000000000
12,2049,windturbine,R1,2030,2.40000000000
12,2050,windturbine,R1,2030,2.40000000000
12,2054,windturbine,R1,2030,2.40000000000
12,2055,windturbine,R1,2030,2.40000000000
12,2059,windturbine,R1,2030,2.40000000000
13,2050,windturbine,R1,2045,12.55000000000
13,2054,windturbine,R1,2045,12.55000000000
13,2055,windturbine,R1,2045,12.55000000000
13,2059,windturbine,R1,2045,12.55000000000
13,2060,windturbine,R1,2045,12.55000000000
13,2064,windturbine,R1,2045,12.55000000000
13,2065,windturbine,R1,2045,12.55000000000
13,2069,windturbine,R1,2045,12.55000000000
13,2070,windturbine,R1,2045,12.55000000000
13,2074,windturbine,R1,2045,12.55000000000
14,2045,windturbine,R2,2020,32.55000000000
14,2049,windturbine,R2,2020,32.55000000000
15,2050,windturbine,R2,2045,12.55000000000
15,2054,windturbine,R2,2045,12.55000000000
15,2055,windturbine,R2,2045,12.55000000000
15,2059,windturbine,R2,2045,12.55000000000
15,2060,windturbine,R2,2045,12.55000000000
15,2064,windturbine,R2,2045,12.55000000000
15,2065,windturbine,R2,2045,12.55000000000
15,2069,windturbine,R2,2045,12.55000000000
15,2070,windturbine,R2,2045,12.55000000000
15,2074,windturbine,R2,2045,12.55000000000
